date,rate
20040422,1.1861
20040423,1.1802
20040426,1.1851
20040427,1.1927
20040428,1.1830
20040429,1.1945
20040430,1.1975
20040503,1.1937
20040504,1.2076
20040505,1.2165
20040506,1.2090
20040507,1.1885
20040510,1.1834
20040511,1.1818
20040512,1.1911
20040513,1.1801
20040514,1.1874
20040517,1.2009
20040518,1.1971
20040519,1.2015
20040520,1.1926
20040521,1.2009
20040524,1.1978
20040525,1.2107
20040526,1.2102
20040527,1.2274
20040528,1.2217
20040601,1.2210
20040602,1.2250
20040603,1.2205
20040604,1.2258
20040607,1.2320
20040608,1.2273
20040609,1.2097
20040610,1.2110
20040611,1.2011
20040614,1.2073
20040615,1.2139
20040616,1.2006
20040617,1.2040
20040618,1.2118
20040621,1.2110
20040622,1.2092
20040623,1.2090
20040624,1.2170
20040625,1.2145
20040628,1.2193
20040629,1.2124
20040630,1.2179
20040701,1.2158
20040702,1.2307
20040706,1.2290
20040707,1.2384
20040708,1.2390
20040709,1.2388
20040712,1.2409
20040713,1.2302
20040714,1.2385
20040715,1.2373
20040716,1.2437
20040719,1.2431
20040720,1.2377
20040721,1.2224
20040722,1.2273
20040723,1.2122
20040726,1.2135
20040727,1.2056
20040728,1.2046
20040729,1.2070
20040730,1.2032
20040802,1.2034
20040803,1.2051
20040804,1.2057
20040805,1.2050
20040806,1.2272
20040809,1.2261
20040810,1.2306
20040811,1.2222
20040812,1.2224
20040813,1.2354
20040816,1.2333
20040817,1.2329
20040818,1.2299
20040819,1.2368
20040820,1.2324
20040823,1.2196
20040824,1.2099
20040825,1.2090
20040826,1.2084
20040827,1.2025
20040830,1.2049
20040831,1.2183
20040901,1.2179
20040902,1.2164
20040903,1.2052
20040907,1.2093
20040908,1.2164
20040909,1.2189
20040910,1.2282
20040913,1.2251
20040914,1.2268
20040915,1.2144
20040916,1.2154
20040917,1.2174
20040920,1.2172
20040921,1.2264
20040922,1.2261
20040923,1.2298
20040924,1.2256
20040927,1.2307
20040928,1.2306
20040929,1.2308
20040930,1.2417
20041001,1.2400
20041004,1.2274
20041005,1.2316
20041006,1.2298
20041007,1.2286
20041008,1.2418
20041012,1.2320
20041013,1.2271
20041014,1.2393
20041015,1.2478
20041018,1.2520
20041019,1.2515
20041020,1.2627
20041021,1.2622
20041022,1.2639
20041025,1.2783
20041026,1.2758
20041027,1.2725
20041028,1.2759
20041029,1.2746
20041101,1.2741
20041102,1.2703
20041103,1.2787
20041104,1.2883
20041105,1.2938
20041108,1.2936
20041109,1.2930
20041110,1.2925
20041112,1.2973
20041115,1.2944
20041116,1.2979
20041117,1.3031
20041118,1.2982
20041119,1.3059
20041122,1.3048
20041123,1.3090
20041124,1.3162
20041126,1.3288
20041129,1.3286
20041130,1.3259
20041201,1.3308
20041202,1.3268
20041203,1.3390
20041206,1.3431
20041207,1.3437
20041208,1.3252
20041209,1.3274
20041210,1.3224
20041213,1.3309
20041214,1.3280
20041215,1.3429
20041216,1.3287
20041217,1.3295
20041220,1.3396
20041221,1.3377
20041222,1.3390
20041223,1.3491
20041224,1.3536
20041227,1.3625
20041228,1.3621
20041229,1.3568
20041230,1.3623
20041231,1.3538
20050103,1.3476
20050104,1.3295
20050105,1.3292
20050106,1.3187
20050107,1.3062
20050110,1.3109
20050111,1.3161
20050112,1.3281
20050113,1.3207
20050114,1.3106
20050118,1.3043
20050119,1.3036
20050120,1.2959
20050121,1.3049
20050124,1.3041
20050125,1.2954
20050126,1.3081
20050127,1.3032
20050128,1.3033
20050131,1.3049
20050201,1.3017
20050202,1.3015
20050203,1.2959
20050204,1.2927
20050207,1.2773
20050208,1.2783
20050209,1.2797
20050210,1.2882
20050211,1.2864
20050214,1.2981
20050215,1.2986
20050216,1.2994
20050217,1.3083
20050218,1.3075
20050222,1.3230
20050223,1.3208
20050224,1.3205
20050225,1.3195
20050228,1.3274
20050301,1.3189
20050302,1.3127
20050303,1.3130
